EmployeeID,WorkHours,TasksCompleted,BreaksTaken,OvertimeHours,LeavesTaken,PerformanceRating,BurnoutRisk
E1053,31,25,0,14,1,2.0,1
E1054,35,11,4,4,7,2.9,0
E1055,33,39,5,4,4,2.0,0
E1056,58,29,2,6,8,2.7,1
E1057,47,47,1,8,0,3.3,0
E1058,55,37,5,6,9,2.4,0
E1059,63,34,1,8,2,2.3,0
E1060,39,41,2,19,4,4.7,0
E1061,65,19,3,9,1,3.8,1
E1062,43,49,0,3,2,4.8,0
E1063,60,42,0,5,3,3.0,0
E1064,44,22,1,13,3,4.0,0
E1065,37,46,1,8,10,2.6,1
E1066,43,25,1,0,8,3.9,0
E1067,52,31,2,16,0,2.4,0
E1068,69,29,3,12,8,2.0,1
E1069,50,36,0,6,8,4.8,1
E1070,45,25,5,8,10,3.7,0
E1071,47,43,4,10,5,4.8,0
E1072,53,41,2,2,10,3.0,0
E1073,55,35,0,11,0,3.0,0
E1074,54,34,3,2,10,3.2,0
E1075,58,11,2,14,5,4.1,0
E1076,44,21,5,9,7,3.7,0
E1077,30,49,0,0,4,4.8,0
E1078,54,18,2,13,4,2.1,1
E1079,36,21,0,19,0,4.1,0
E1080,38,35,0,5,0,3.0,0
E1081,53,18,3,1,7,2.5,1
E1082,30,19,4,7,4,3.5,0
E1083,37,41,3,0,7,3.5,0
E1084,53,43,0,3,9,2.4,0
E1085,40,29,2,3,1,2.6,0
E1086,46,48,5,4,3,3.2,0
E1087,37,11,3,19,10,3.2,0
E1088,64,10,4,8,9,3.0,0
E1089,64,45,0,12,8,2.4,0
E1090,62,33,5,17,2,2.0,0
E1091,34,36,3,16,5,4.9,0
E1092,68,11,3,0,10,4.8,0
E1093,57,40,3,14,6,3.5,0
E1094,36,23,3,1,2,5.0,1
E1095,38,11,5,15,0,4.0,0
E1096,37,38,2,19,1,2.2,0
E1097,41,24,4,4,10,2.4,0
E1098,63,21,4,18,9,4.7,0
E1099,62,46,0,4,6,3.9,1
E1100,52,37,1,1,6,4.5,1
E1101,53,29,2,6,0,4.7,0
E1102,66,48,0,2,9,3.3,1
E1103,64,33,0,16,6,2.1,0
E1104,69,30,3,2,9,2.6,1
E1105,51,19,1,12,10,2.2,0
E1106,56,23,1,6,5,2.6,0
E1107,64,46,2,2,10,3.2,1
E1108,30,27,1,14,5,2.4,0
E1109,64,33,0,17,6,2.5,1
E1110,66,23,1,9,6,3.3,0
E1111,43,43,1,6,0,3.0,0
E1112,32,21,4,8,9,3.4,0
E1113,30,31,0,4,4,3.3,0
E1114,34,15,5,19,7,3.9,0
E1115,55,45,1,7,7,4.8,0
E1116,43,45,1,13,2,2.3,0
E1117,68,31,3,3,2,2.3,1
E1118,56,23,1,19,6,4.6,0
E1119,38,25,1,13,3,3.5,1
E1120,44,45,4,11,5,4.3,0
E1121,44,34,0,1,8,2.6,0
E1122,55,41,2,12,9,4.5,0
E1123,42,42,0,0,1,4.8,1
E1124,61,45,3,19,1,3.9,0
E1125,68,29,0,6,5,2.3,0
E1126,61,27,1,8,2,4.7,1
E1127,33,47,3,16,0,4.4,0
E1128,59,12,0,12,1,4.3,1
E1129,66,32,3,9,6,2.1,0
E1130,52,41,2,15,3,4.4,0
E1131,68,25,0,5,1,2.4,0
E1132,44,14,5,15,10,2.7,0
E1133,58,13,1,10,7,3.7,1
E1134,65,30,3,19,3,2.8,1
E1135,42,49,5,2,3,4.0,0
E1136,61,23,5,8,1,3.8,1
E1137,36,48,4,14,0,2.3,0
E1138,51,40,3,12,0,4.0,0
E1139,57,23,5,9,2,4.8,0
E1140,31,15,4,19,5,2.5,0
E1141,35,21,5,12,6,3.8,0
E1142,57,25,1,16,8,3.0,0
E1143,57,26,2,6,4,3.4,0
E1144,49,32,4,5,8,2.9,1
E1145,59,23,2,12,7,3.1,1
E1146,40,16,3,16,0,2.1,0
E1147,57,41,1,14,10,4.9,0
E1148,54,24,4,3,2,3.9,0
E1149,68,26,3,14,7,3.5,1
E1150,62,43,5,13,8,3.2,0
E1151,30,14,0,10,3,3.6,0
E1152,56,36,3,3,5,3.1,1
E1153,42,32,2,2,3,3.1,0
E1154,32,49,1,1,8,3.4,0
E1155,68,23,1,19,1,2.8,0
E1156,35,24,3,9,5,2.5,0
E1157,37,42,5,12,10,3.7,1
E1158,56,40,0,19,2,4.5,0
E1159,38,44,2,17,9,2.5,0
E1160,66,26,3,15,3,2.1,0
E1161,62,37,3,10,1,2.7,0
E1162,53,28,1,9,10,4.9,0
E1163,44,32,2,8,7,4.5,0
E1164,61,41,0,11,9,3.8,0
E1165,61,49,1,18,7,4.8,0
E1166,53,22,3,0,0,3.3,0
E1167,41,29,1,17,9,4.9,0
E1168,68,44,1,13,5,2.9,1
E1169,31,14,4,0,0,2.7,0
E1170,32,18,1,16,5,3.9,1
E1171,66,38,5,10,6,3.1,0
E1172,46,15,1,19,1,3.9,1
E1173,31,34,5,14,8,2.9,0
E1174,31,40,2,3,7,3.9,0
E1175,57,31,1,14,8,2.8,0
E1176,52,11,0,13,9,2.2,0
E1177,66,14,5,0,3,4.7,1
E1178,61,36,5,8,3,4.6,0
E1179,62,34,3,6,7,4.9,0
E1180,30,17,2,10,0,4.1,1
E1181,48,10,1,1,7,4.0,0
E1182,31,29,0,1,6,3.7,0
E1183,55,32,3,5,6,2.4,0
E1184,61,41,2,18,8,2.6,0
E1185,35,20,5,19,9,2.9,1
E1186,61,48,0,13,6,4.7,0
E1187,33,33,1,2,1,2.5,0
E1188,40,20,4,6,0,4.8,0
E1189,46,38,4,6,0,3.6,0
E1190,67,35,2,3,6,4.1,0
E1191,53,25,0,4,4,2.3,0
E1192,34,44,3,16,3,2.8,0
E1193,63,29,0,3,4,4.9,1
E1194,35,12,5,12,9,2.8,0
E1195,51,10,4,15,9,2.9,0
E1196,40,10,2,15,5,2.6,0
E1197,45,26,1,1,9,2.4,1
E1198,62,11,0,17,5,2.7,0
E1199,38,38,4,0,0,3.9,1
E1200,35,29,3,17,1,3.4,1
E1201,45,15,2,7,2,3.7,1
E1202,58,17,1,10,3,2.4,0
E1203,32,38,0,14,5,4.4,0
E1204,49,42,3,15,10,4.4,0
E1205,65,12,1,16,8,2.1,1
E1206,48,44,5,16,1,3.2,1
E1207,55,14,4,11,7,2.2,1
E1208,32,36,5,9,8,4.4,0
E1209,48,21,4,19,1,4.2,0
E1210,49,29,3,5,8,4.7,0
E1211,61,29,5,7,6,2.7,0
E1212,36,18,4,12,8,3.4,0
E1213,62,48,2,1,5,2.6,0
E1214,69,13,3,18,1,3.1,1
E1215,68,28,4,9,7,3.6,0
E1216,47,47,0,3,9,2.2,1
E1217,69,36,4,11,8,4.1,1
E1218,30,22,5,17,7,3.6,0
E1219,40,22,2,6,1,4.5,0
E1220,57,31,1,19,7,2.8,0
E1221,54,37,1,3,2,4.7,0
E1222,52,31,4,6,2,5.0,0
E1223,60,28,1,9,8,4.8,0
E1224,59,17,4,14,8,4.3,1
E1225,64,17,2,11,8,4.4,0
E1226,36,35,1,0,3,3.7,0
E1227,45,35,5,19,6,2.6,1
E1228,55,32,5,17,7,4.0,0
E1229,31,22,0,15,4,4.1,0
E1230,30,37,4,4,0,5.0,1
E1231,41,18,1,18,8,3.6,0
E1232,34,29,5,3,5,2.8,0
E1233,66,28,2,5,2,4.1,1
E1234,61,48,2,16,2,4.9,0
E1235,38,21,0,6,9,2.5,0
E1236,64,24,2,6,0,3.0,0
E1237,48,40,2,8,7,3.6,0
E1238,45,23,1,12,1,2.5,1
E1239,32,20,4,19,0,2.1,1
E1240,49,35,3,13,6,3.0,0
E1241,53,36,2,15,10,4.6,1
E1242,62,20,2,8,8,2.1,1
E1243,53,47,3,14,5,3.3,0
E1244,40,43,2,4,7,4.3,0
E1245,37,28,1,17,7,4.9,0
E1246,65,15,1,19,8,5.0,0
E1247,67,47,3,7,6,3.3,0
E1248,69,37,5,14,8,4.9,0
E1249,49,10,2,8,8,2.1,0
E1250,64,44,5,18,10,4.2,1
E1251,54,49,2,5,0,3.9,1
E1252,64,17,4,3,5,2.7,0
E1253,54,16,2,10,7,3.5,1
E1254,58,20,1,9,9,2.4,0
E1255,47,48,0,2,8,4.6,0
E1256,47,13,0,0,3,3.1,0
E1257,31,34,0,11,1,3.9,1
E1258,64,21,0,14,10,2.5,1
E1259,45,35,5,14,8,2.6,1
E1260,65,47,5,13,8,5.0,1
E1261,62,21,2,6,7,4.3,0
E1262,33,46,5,16,2,4.9,1
E1263,62,33,2,18,4,2.9,0
E1264,43,25,4,6,1,2.5,0
E1265,50,22,2,2,2,3.5,0
E1266,49,34,0,2,0,3.5,0
E1267,37,13,3,17,3,2.5,0
E1268,36,20,3,19,4,4.2,0
E1269,32,41,1,13,1,3.1,0
E1270,46,16,1,2,2,2.6,0
E1271,62,20,2,6,5,3.0,0
E1272,41,37,3,6,5,3.7,0
E1273,51,32,0,4,6,4.2,0
E1274,51,32,5,2,8,3.4,1
E1275,59,37,0,17,3,3.6,1
E1276,67,35,0,14,4,2.4,0
E1277,67,34,2,19,10,4.7,1
E1278,37,38,2,13,1,4.8,0
E1279,56,28,4,3,5,4.1,0
E1280,56,42,0,7,3,2.1,0
E1281,63,45,0,12,4,3.6,0
E1282,50,23,2,7,6,3.9,0
E1283,59,23,2,14,5,5.0,0
E1284,62,44,4,16,7,5.0,0
E1285,57,39,4,4,5,4.6,0
E1286,62,37,1,19,9,2.2,1
E1287,34,26,3,3,7,4.9,0
E1288,48,12,0,10,3,3.8,1
E1289,33,25,0,17,6,4.4,0
E1290,64,39,4,9,2,3.2,1
E1291,46,38,4,16,0,3.0,0
E1292,57,24,1,14,8,3.4,1
E1293,59,34,3,5,8,2.4,1
E1294,58,47,1,15,5,3.1,0
E1295,35,47,3,14,1,4.6,0
E1296,64,32,5,7,7,2.1,0
E1297,66,34,0,8,9,2.5,1
E1298,53,16,1,10,5,2.4,0
E1299,58,31,4,1,6,3.2,0
E1300,60,26,1,12,0,5.0,0
E1301,64,27,5,3,2,2.5,0
E1302,62,19,1,8,0,2.4,0
E1303,50,19,0,4,9,4.7,1
E1304,61,16,5,18,0,4.6,0
E1305,52,47,4,2,10,2.1,1
E1306,62,36,4,2,0,4.3,0
E1307,32,42,2,5,3,4.0,0
E1308,47,10,5,9,6,4.3,0
E1309,54,43,2,4,6,3.5,1
E1310,60,13,2,2,4,5.0,0
E1311,32,26,0,6,5,2.1,0
E1312,69,13,1,17,1,2.7,0
E1313,53,35,4,7,4,3.2,0
E1314,61,13,4,0,6,3.3,1
E1315,51,10,1,3,8,4.8,0
E1316,52,16,4,6,5,3.7,0
E1317,31,39,1,13,9,2.1,0
E1318,56,18,5,12,3,3.2,0
E1319,31,44,0,9,2,3.2,0
E1320,55,17,0,17,8,4.9,0
E1321,46,33,0,0,6,3.8,0
E1322,69,28,1,3,10,3.9,0
E1323,62,45,1,15,5,4.1,0
E1324,38,36,3,15,6,4.3,0
E1325,68,41,4,17,7,3.9,0
E1326,58,23,4,7,4,2.7,0
E1327,55,27,3,9,2,4.6,0
E1328,64,37,3,15,2,4.2,0
E1329,54,38,0,10,1,4.2,1
E1330,53,25,3,5,7,5.0,0
E1331,42,44,1,0,0,4.4,0
E1332,36,40,2,11,7,4.5,0
E1333,65,13,1,5,2,4.9,0
E1334,49,46,3,12,8,2.5,1
E1335,30,26,4,16,10,3.5,0
E1336,37,48,1,0,1,3.7,0
E1337,45,35,4,7,9,3.0,0
E1338,43,48,1,7,8,4.5,1
E1339,41,13,4,10,5,4.3,1
E1340,52,39,5,13,0,4.2,0
E1341,44,39,1,9,4,5.0,1
E1342,57,31,4,14,9,2.8,0
E1343,63,20,2,6,8,4.2,0
E1344,31,11,0,6,5,3.7,0
E1345,61,21,1,9,6,2.9,0
E1346,52,39,2,3,3,2.5,0
E1347,51,45,0,17,0,4.7,1
E1348,54,27,1,9,4,3.8,0
E1349,51,35,2,18,1,4.5,0
E1350,51,16,2,13,7,3.6,0
E1351,35,10,5,12,3,2.7,0
E1352,44,35,2,14,0,3.0,0
E1353,66,32,5,15,9,3.1,0
E1354,62,35,3,1,6,4.9,0
E1355,37,15,4,3,10,2.0,0
E1356,34,15,0,17,1,5.0,0
E1357,68,17,4,16,2,4.9,0
E1358,33,33,4,9,8,5.0,0
E1359,35,31,5,8,8,3.4,0
E1360,61,28,4,14,1,4.9,0
E1361,59,46,2,11,2,3.2,0
E1362,64,27,5,8,10,2.1,0
E1363,69,40,4,13,8,2.7,1
E1364,45,46,5,12,0,4.8,1
E1365,42,39,3,5,1,2.0,1
E1366,59,42,5,18,10,3.6,0
E1367,48,19,1,3,1,2.2,0
E1368,46,46,2,19,9,2.9,0
E1369,48,21,0,16,2,2.3,0
E1370,57,39,1,18,9,4.6,0
E1371,55,36,1,2,2,3.8,1
E1372,66,48,1,13,9,4.7,0
E1373,55,18,4,16,1,4.1,0
E1374,52,30,5,12,7,4.9,0
E1375,38,21,5,8,7,3.5,0
E1376,41,38,4,0,7,3.9,0
E1377,30,42,2,16,1,3.7,0
E1378,30,24,4,15,8,3.5,0
E1379,63,11,4,17,10,4.5,1
E1380,61,48,4,1,6,3.9,0
E1381,54,27,2,13,4,4.4,1
E1382,69,12,2,16,6,4.4,0
E1383,30,16,3,2,7,2.6,0
E1384,45,27,3,1,8,4.0,0
E1385,68,47,3,7,1,2.6,1
E1386,34,46,3,1,5,3.7,0
E1387,51,42,5,1,8,4.0,0
E1388,58,40,1,8,5,5.0,0
E1389,32,20,1,19,1,2.1,0
E1390,41,13,3,5,0,2.3,0
E1391,55,27,3,11,2,2.2,1
E1392,45,13,0,8,10,3.2,0
E1393,66,43,1,6,4,4.5,0
E1394,51,38,0,11,6,4.5,1
E1395,58,33,0,4,9,4.2,1
E1396,43,31,4,15,9,4.7,0
E1397,57,11,5,4,2,3.0,0
E1398,34,15,2,11,8,2.3,0
E1399,59,34,1,19,9,2.2,1
E1400,34,30,3,8,3,4.6,1
E1401,41,25,3,6,9,4.2,1
E1402,45,40,2,18,1,4.1,0
E1403,55,23,1,19,2,3.0,0
E1404,55,48,3,10,4,3.1,0
E1405,50,37,3,11,2,4.9,0
E1406,68,41,4,2,4,2.2,1
E1407,65,37,0,16,3,4.3,0
E1408,62,18,3,6,10,2.9,0
E1409,59,31,5,9,9,2.1,1
E1410,66,41,1,14,2,4.2,0
E1411,52,14,5,1,5,3.0,0
E1412,39,32,2,12,7,4.2,1
E1413,34,14,4,3,3,4.1,1
E1414,65,41,1,17,8,3.6,1
E1415,63,19,4,0,5,4.3,0
E1416,60,48,0,1,4,3.7,0
E1417,39,24,3,1,2,2.9,0
E1418,48,16,1,3,4,4.2,0
E1419,61,38,2,2,4,3.8,0
E1420,30,12,0,16,3,2.0,1
E1421,34,28,0,13,5,4.7,0
E1422,33,19,4,1,2,3.6,0
E1423,45,37,0,15,9,4.6,1
E1424,53,38,1,10,0,4.6,1
E1425,45,24,4,12,6,3.3,0
E1426,31,44,0,0,6,3.5,1
E1427,57,15,2,1,3,3.2,1
E1428,61,21,5,1,8,3.3,1
E1429,56,47,1,4,1,4.7,1
E1430,49,22,2,3,0,4.4,1
E1431,53,38,2,11,2,2.4,0
E1432,41,28,4,2,6,3.8,0
E1433,64,12,3,19,8,5.0,0
E1434,62,17,4,9,1,3.8,0
E1435,62,17,1,19,5,4.4,0
E1436,66,29,1,17,2,4.3,0
E1437,41,13,4,9,4,3.1,0
E1438,32,30,3,0,8,3.1,1
E1439,30,12,4,5,2,4.2,1
E1440,62,17,1,10,0,3.5,0
E1441,69,32,3,1,4,3.7,0
E1442,39,25,1,6,0,4.1,1
E1443,58,22,3,19,7,4.3,1
E1444,42,12,3,17,6,2.8,1
E1445,41,18,4,18,10,2.4,1
E1446,60,23,4,3,1,2.9,1
E1447,31,22,4,12,10,3.5,0
E1448,64,16,3,17,8,3.0,0
E1449,52,24,3,19,4,3.7,1
E1450,46,16,1,12,6,2.2,0
E1451,55,47,2,18,3,3.5,1
E1452,37,43,4,16,0,3.1,0
E1453,58,31,5,0,7,3.6,1
E1454,55,33,1,5,0,3.3,0
E1455,39,46,1,18,2,2.9,0
E1456,55,10,0,19,5,4.7,0
E1457,63,19,4,0,7,2.6,1
E1458,36,25,1,7,7,4.0,0
E1459,33,17,0,16,1,4.8,1
E1460,40,34,5,14,8,3.6,1
E1461,58,21,5,17,3,4.6,1
E1462,65,34,4,6,3,2.4,1
E1463,54,26,3,15,1,3.5,0
E1464,50,35,0,6,0,3.4,0
E1465,65,23,3,16,9,2.0,0
E1466,39,45,5,3,6,3.3,1
E1467,66,32,5,11,10,3.1,1
E1468,38,15,2,12,9,4.0,0
E1469,53,14,2,3,2,4.8,0
E1470,64,34,2,0,3,2.3,0
E1471,64,27,2,0,10,3.0,0
E1472,65,22,1,6,8,3.3,0
E1473,47,23,2,8,5,3.4,0
E1474,68,37,1,0,0,4.3,0
E1475,61,27,1,15,8,3.3,0
E1476,53,37,4,17,8,2.1,0
E1477,52,36,1,14,4,4.1,0
E1478,61,41,1,5,7,4.7,0
E1479,66,18,2,1,6,3.5,0
E1480,41,49,1,8,10,3.7,0
E1481,42,41,3,3,7,2.5,0
E1482,52,29,2,12,8,2.7,0
E1483,54,37,0,10,1,2.7,0
E1484,64,42,2,12,9,3.3,1
E1485,59,13,1,10,4,4.8,0
E1486,46,43,3,18,7,3.6,0
E1487,49,12,2,7,2,2.6,0
E1488,54,35,3,6,10,2.8,0
E1489,51,17,0,15,10,3.2,1
E1490,42,15,5,2,5,3.9,0
E1491,48,25,0,16,5,3.3,0
E1492,65,33,5,17,6,3.2,0
E1493,41,48,4,14,10,3.7,0
E1494,48,39,5,16,2,2.7,0
E1495,41,22,4,10,7,2.2,0
E1496,38,14,2,4,7,2.1,0
E1497,36,34,4,15,8,2.8,0
E1498,57,29,3,14,7,2.3,0
E1499,43,27,4,9,2,3.0,1
E1500,60,27,3,13,5,4.3,0
E1501,48,11,5,1,8,4.1,0
E1502,45,19,5,15,0,3.8,0
E1503,34,21,5,18,2,4.6,0
E1504,64,22,4,7,1,2.8,1
E1505,41,20,5,14,7,4.7,0
E1506,54,28,4,9,5,3.2,0
E1507,50,44,4,4,9,3.2,0
E1508,65,48,1,19,10,3.2,0
E1509,52,35,1,15,10,2.3,0
E1510,45,23,4,11,7,4.9,1
E1511,68,33,3,12,1,2.4,1
E1512,68,10,2,8,10,3.0,0
E1513,43,31,0,16,5,3.0,1
E1514,60,32,1,19,6,2.2,0
E1515,34,28,4,11,7,2.5,1
E1516,64,27,0,4,8,2.1,1
E1517,52,21,1,11,4,2.9,0
E1518,58,37,2,0,10,4.6,0
E1519,40,37,3,19,2,3.0,1
E1520,47,42,4,15,1,2.4,0
E1521,41,28,2,11,7,3.9,0
E1522,38,37,1,8,0,5.0,0
E1523,39,46,4,12,9,2.7,1
E1524,46,35,0,16,5,2.8,1
E1525,67,44,5,16,1,4.9,0
E1526,36,43,3,3,2,2.5,1
E1527,42,44,1,13,7,3.5,0
E1528,69,49,3,18,0,2.7,1
E1529,38,25,4,6,5,4.8,0
E1530,56,47,5,2,2,4.9,0
E1531,31,22,2,0,5,4.4,0
E1532,34,32,3,11,2,2.9,0
E1533,58,31,0,14,10,3.2,0
E1534,66,25,1,10,10,2.7,1
E1535,67,37,0,9,7,4.7,0
E1536,48,44,3,1,4,4.7,1
E1537,37,17,5,3,3,3.3,0
E1538,30,31,2,16,8,4.0,0
E1539,51,30,2,16,4,2.5,0
E1540,46,35,0,7,3,3.3,1
E1541,36,49,4,13,7,3.9,0
E1542,54,30,4,3,7,3.2,1
E1543,33,34,5,5,7,3.1,1
E1544,65,10,2,18,3,2.0,0
E1545,35,15,0,3,0,4.4,0
E1546,60,32,0,2,1,4.7,1
E1547,48,32,0,19,3,4.9,1
E1548,68,32,3,5,9,4.2,0
E1549,56,41,5,6,1,3.6,0
E1550,39,39,4,13,10,2.8,0
E1551,55,22,4,11,9,5.0,0
E1552,48,27,3,15,2,3.8,0
E1553,68,32,1,19,8,4.0,0
E1554,32,24,3,7,8,4.0,0
E1555,42,42,5,1,10,4.5,0
E1556,57,30,0,12,8,2.0,1
E1557,49,48,3,7,6,2.7,1
E1558,57,32,0,19,3,4.0,1
E1559,37,36,5,15,0,4.7,1
E1560,68,27,5,3,2,4.1,0
E1561,30,33,2,15,7,3.2,1
E1562,32,49,0,19,3,3.1,1
E1563,42,16,4,5,9,4.2,1
E1564,57,29,3,3,9,4.2,0
E1565,54,36,5,15,1,3.8,0
E1566,62,15,0,12,7,2.9,0
E1567,67,36,1,4,6,4.8,0
E1568,35,18,2,14,10,3.7,1
E1569,61,40,1,7,9,4.4,0
E1570,50,30,5,6,8,2.6,1
E1571,45,35,1,13,1,3.0,0
E1572,50,49,1,6,4,4.6,0
E1573,40,22,2,6,5,2.2,0
E1574,66,32,2,17,1,3.5,0
E1575,65,29,2,9,1,3.4,0
E1576,64,46,2,17,9,4.3,0
E1577,48,37,1,13,3,2.8,0
E1578,49,26,4,9,7,2.7,1
E1579,47,37,4,6,10,4.8,0
E1580,43,11,2,6,4,3.7,1
E1581,44,34,3,6,8,2.3,0
E1582,60,15,0,4,3,2.6,0
E1583,30,20,5,0,2,5.0,0
E1584,32,47,3,13,9,2.6,1
E1585,45,15,5,17,7,3.8,0
E1586,52,20,3,12,0,3.3,0
E1587,40,23,3,7,8,4.7,1
E1588,41,11,4,7,3,4.3,0
E1589,39,49,0,9,10,3.8,0
E1590,61,12,3,16,8,2.0,1
E1591,45,44,2,5,7,4.6,0
E1592,37,42,5,14,2,3.3,0
E1593,67,33,4,14,2,4.8,0
E1594,41,28,5,15,8,3.5,0
E1595,53,27,2,7,2,4.1,0
E1596,57,33,2,18,3,2.2,0
E1597,37,44,3,19,8,4.2,1
E1598,57,10,2,14,3,3.0,0
E1599,65,45,0,2,10,3.1,0
E1600,55,34,2,5,2,2.4,1
E1601,37,43,3,7,6,2.4,0
E1602,57,34,5,15,5,2.6,1
E1603,57,25,2,14,0,3.0,1
E1604,66,43,4,12,9,4.7,0
E1605,65,38,4,19,7,3.1,0
E1606,56,28,4,14,0,4.2,1
E1607,46,32,5,17,3,2.2,1
E1608,38,28,1,12,5,3.8,0
E1609,62,34,4,7,5,3.4,0
E1610,49,25,4,13,6,4.9,0
E1611,42,18,1,10,10,4.5,0
E1612,57,10,5,5,4,3.4,0
E1613,58,28,4,0,4,4.3,0
E1614,42,42,3,1,3,2.6,1
E1615,64,43,5,12,5,3.7,0
E1616,35,25,4,0,6,2.2,1
E1617,47,49,4,3,9,3.0,0
E1618,34,27,1,1,9,2.7,0
E1619,54,43,3,19,0,4.2,0
E1620,31,34,5,15,8,3.5,0
E1621,39,15,2,2,7,4.3,0
E1622,59,30,0,16,6,3.5,1
E1623,34,15,3,4,8,2.3,0
E1624,62,41,2,7,2,4.2,1
E1625,30,48,3,11,9,4.5,0
E1626,47,40,2,11,3,4.7,0
E1627,61,19,2,0,6,3.7,0
E1628,40,39,3,0,5,4.3,1
E1629,50,27,1,14,1,4.3,0
E1630,55,33,3,16,1,2.5,0
E1631,54,18,3,1,9,2.5,1
E1632,51,40,2,16,6,2.2,1
E1633,56,24,0,19,8,3.0,0
E1634,42,13,2,8,10,3.4,1
E1635,62,49,4,11,8,5.0,0
E1636,63,18,3,3,6,3.3,1
E1637,64,18,5,12,10,4.2,0
E1638,30,35,3,3,7,4.1,0
E1639,50,13,1,6,9,2.6,0
E1640,35,26,5,13,2,2.2,0
E1641,57,25,2,8,0,3.6,0
E1642,46,24,1,0,6,4.1,1
E1643,34,44,3,0,7,5.0,1
E1644,60,14,2,19,1,3.1,0
E1645,34,14,2,3,8,4.7,0
E1646,67,29,4,0,3,3.1,0
E1647,32,24,4,9,9,4.1,0
E1648,52,27,0,1,10,3.8,1
E1649,66,11,4,14,8,2.2,0
E1650,66,38,5,2,2,2.2,0
E1651,39,22,2,8,7,2.1,0
E1652,39,13,4,16,10,3.1,0
E1653,48,19,0,12,1,4.2,0
E1654,46,40,3,2,2,2.5,0
E1655,50,17,5,3,0,3.8,0
E1656,43,12,4,3,4,2.9,0
E1657,38,18,2,10,3,4.4,0
E1658,30,39,3,6,0,4.4,0
E1659,42,20,2,10,9,4.3,0
E1660,33,44,3,10,8,3.6,1
E1661,30,46,5,9,5,2.9,0
E1662,69,22,2,4,5,4.4,1
E1663,61,45,4,12,10,2.6,0
E1664,63,22,4,11,1,2.9,0
E1665,57,21,0,9,6,2.6,0
E1666,60,46,3,6,8,4.0,0
E1667,37,19,0,18,5,4.1,1
E1668,68,18,1,18,10,4.0,0
E1669,55,16,4,18,7,3.2,0
E1670,63,11,3,11,4,2.3,1
E1671,32,32,5,19,1,4.7,0
E1672,41,48,0,14,3,3.5,0
E1673,30,49,5,4,0,3.2,0
E1674,34,48,5,13,0,3.8,0
E1675,59,30,5,11,5,2.6,0
E1676,59,32,0,10,1,2.4,0
E1677,46,38,1,4,5,3.2,1
E1678,52,23,0,15,0,2.7,1
E1679,44,35,2,17,10,2.7,0
E1680,66,14,4,11,9,4.7,0
E1681,50,40,0,4,2,3.6,0
E1682,43,34,0,15,8,3.5,0
E1683,31,40,1,11,1,4.1,0
E1684,40,29,2,1,7,4.9,1
E1685,68,26,0,5,5,2.3,1
E1686,67,11,4,3,5,4.5,0
E1687,63,34,4,12,6,3.8,0
E1688,67,22,0,9,4,2.4,0
E1689,63,48,5,16,10,2.9,0
E1690,47,37,5,13,3,3.4,0
E1691,59,15,2,14,5,4.1,0
E1692,44,12,4,7,7,2.7,0
